task-id|run-number|rawfile-number
0 3875 0
0 3875 1
0 3876 0
0 3877 0
0 3878 0
0 3879 0
0 3880 0
0 3882 0
0 3883 0
0 3884 0
0 3885 0
0 3886 0
0 3887 0
0 3888 0
0 3889 0
0 3891 0
0 3892 0
0 3893 0
0 3894 0
0 3895 0
0 3896 0
0 3897 0
0 3898 0
0 4000 0
0 4001 0
0 4002 0
0 4003 0
0 4004 0
0 4005 0
0 4006 0
0 4007 0
0 4008 0
0 4009 0
0 4010 0
0 4011 0
0 4012 0
0 4013 0
0 4014 0
1 4016 0
1 4017 0
1 4018 0
1 4019 0
1 4020 0
2 4022 0
2 4023 0
2 4024 0
2 4025 0
2 4026 0
2 4027 0
2 4028 0
3 4030 0
3 4031 0
3 4032 0
3 4033 0
3 4034 0
3 4035 0
3 4036 0
3 4037 0
3 4038 0
3 4039 0
4 4041 0
4 4042 0
4 4043 0
4 4044 0
4 4045 0
4 4046 0
4 4047 0
4 4048 0
4 4049 0
4 4050 0
4 4051 0
5 4053 0
5 4054 0
5 4055 0
5 4056 0
5 4057 0
5 4058 0
5 4059 0
5 4060 0
6 4062 0
6 4063 0
6 4064 0
6 4065 0
6 4066 0
6 4067 0
6 4068 0
6 4069 0
6 4070 0
6 4071 0
6 4072 0
6 4073 0
7 4075 0
7 4076 0
8 4078 0
8 4079 0
9 4081 0
9 4082 0
9 4083 0
9 4084 0
9 4085 0
10 4087 0
10 4088 0
10 4089 0
10 4091 0
10 4092 0
10 4093 0
10 4094 0
10 4095 0
10 4096 0
10 4097 0
10 4098 0
10 4099 0
10 4100 0
10 4102 0
10 4103 0
10 4104 0
10 4105 0
10 4106 0
10 4107 0
10 4108 0
10 4109 0
10 4110 0
10 4111 0
10 4112 0
10 4113 0
10 4114 0
10 4115 0
10 4116 0
10 4117 0
10 4118 0
10 4119 0
10 4120 0
10 4121 0
10 4122 0
10 4123 0
10 4124 0
10 4125 0
10 4126 0
10 4127 0
10 4128 0
10 4129 0
10 4130 0
10 4131 0
10 4132 0
10 4133 0
10 4133 1
10 4133 2
10 4134 0
10 4135 0
10 4136 0
10 4137 0
10 4138 0
10 4139 0
10 4140 0
10 4141 0
10 4142 0
10 4143 0
10 4144 0
10 4145 0
10 4146 0
10 4147 0
10 4147 1
10 4148 0
10 4149 0
10 4150 0
10 4151 0
10 4152 0
10 4153 0
10 4154 0
10 4155 0
10 4155 1
10 4155 2
10 4155 3
10 4156 0
10 4156 1
10 4157 0
10 4157 1
10 4157 2
10 4157 3
10 4157 4
10 4157 5
10 4157 6
10 4157 7
10 4157 8
10 4157 9
10 4157 10
10 4157 11
10 4157 12
10 4157 13
10 4157 14
10 4157 15
10 4157 16
10 4157 17
10 4157 18
10 4157 19
10 4157 20
10 4157 21
10 4157 22
10 4157 23
10 4157 24
10 4157 25
10 4157 26
10 4157 27
10 4157 28
10 4157 29
10 4157 30
10 4157 31
10 4157 32
10 4157 33
10 4157 34
10 4157 35
10 4157 36
10 4157 37
10 4157 38
10 4157 39
10 4157 40
10 4157 41
10 4157 42
10 4157 43
10 4158 0
10 4159 0
11 4161 0
11 4161 1
11 4162 0
11 4162 1
11 4162 2
11 4162 3
11 4162 4
11 4162 5
11 4162 6
11 4162 7
11 4162 8
11 4162 9
11 4162 10
11 4162 11
11 4162 12
11 4162 13
11 4162 14
11 4162 15
11 4162 16
11 4162 17
11 4162 18
11 4162 19
11 4162 20
11 4162 21
11 4162 22
11 4162 23
11 4162 24
11 4162 25
11 4162 26
11 4162 27
11 4162 28
11 4162 29
11 4162 30
11 4162 31
11 4162 32
11 4162 33
11 4162 34
11 4162 35
11 4162 36
11 4162 37
11 4162 38
11 4162 39
11 4162 40
11 4162 41
11 4162 42
11 4162 43
11 4162 44
11 4162 45
11 4162 46
11 4162 47
11 4162 48
11 4162 49
11 4162 50
11 4162 51
11 4162 52
11 4163 0
11 4163 1
11 4163 2
11 4163 3
11 4163 4
11 4163 5
11 4163 6
12 4165 0
12 4166 0
12 4166 1
12 4167 0
12 4168 0
12 4168 1
12 4168 2
12 4168 3
12 4168 4
12 4168 5
12 4168 6
12 4168 7
12 4168 8
12 4168 9
12 4169 0
12 4170 0
12 4170 1
12 4171 0
12 4171 1
12 4171 2
12 4172 0
12 4172 1
12 4172 2
12 4172 3
12 4172 4
12 4173 0
12 4174 0
12 4175 0
12 4176 0
12 4176 1
12 4177 0
12 4177 1
12 4177 2
12 4177 3
12 4177 4
12 4177 5
13 4179 0
13 4179 1
13 4179 2
13 4179 3
13 4180 0
13 4181 0
13 4181 1
13 4181 2
13 4181 3
13 4182 0
13 4183 0
13 4184 0
13 4184 1
13 4184 2
13 4184 3
13 4184 4
13 4185 0
13 4185 1
13 4185 2
13 4185 3
13 4185 4
13 4185 5
13 4185 6
13 4186 0
13 4186 1
13 4186 2
13 4187 0
13 4187 1
13 4187 2
13 4188 0
13 4188 1
13 4188 2
13 4188 3
13 4188 4
13 4188 5
13 4188 6
13 4188 7
13 4188 8
13 4188 9
13 4188 10
13 4188 11
13 4188 12
13 4189 0
13 4189 1
13 4189 2
13 4189 3
13 4190 0
13 4190 1
13 4190 2
13 4190 3
13 4190 4
13 4190 5
13 4190 6
13 4190 7
13 4190 8
13 4191 0
13 4191 1
13 4191 2
13 4191 3
13 4192 0
13 4193 0
13 4194 0
13 4195 0
13 4195 1
13 4195 2
13 4195 3
14 4197 0
14 4197 1
14 4197 2
14 4197 3
14 4197 4
14 4198 0
14 4199 0
14 4199 1
14 4199 2
14 4199 3
14 4199 4
14 4199 5
14 4200 0
14 4200 1
14 4200 2
14 4200 3
14 4200 4
14 4200 5
14 4200 6
14 4200 7
14 4200 8
15 4202 0
15 4202 1
15 4202 2
15 4202 3
15 4202 4
15 4202 5
15 4202 6
15 4202 7
15 4202 8
15 4203 0
15 4203 1
15 4203 2
15 4203 3
15 4203 4
15 4203 5
15 4203 6
15 4203 7
15 4203 8
15 4203 9
16 4205 0
16 4205 1
16 4205 2
16 4205 3
16 4205 4
16 4205 5
16 4205 6
16 4205 7
16 4205 8
16 4205 9
16 4205 10
16 4205 11
16 4205 12
16 4205 13
16 4205 14
17 4207 0
17 4207 1
17 4207 2
17 4207 3
17 4207 4
17 4207 5
17 4207 6
17 4207 7
17 4207 8
17 4207 9
17 4207 10
17 4207 11
17 4207 12
17 4207 13
17 4207 14
17 4207 15
18 4209 0
18 4209 1
18 4209 2
18 4209 3
18 4209 4
18 4209 5
18 4209 6
18 4209 7
18 4209 8
18 4209 9
18 4210 0
18 4210 1
18 4210 2
18 4210 3
18 4210 4
18 4210 5
18 4210 6
18 4210 7
18 4210 8
18 4210 9
18 4210 10
19 4212 0
19 4212 1
19 4212 2
19 4212 3
19 4212 4
19 4212 5
19 4212 6
19 4212 7
19 4212 8
19 4212 9
19 4213 0
19 4213 1
19 4213 2
19 4213 3
19 4213 4
19 4213 5
19 4213 6
19 4213 7
19 4213 8
19 4213 9
20 4215 0
20 4215 1
20 4215 2
20 4215 3
20 4215 4
20 4215 5
20 4215 6
20 4215 7
20 4215 8
20 4215 9
20 4215 10
20 4216 0
20 4216 1
20 4216 2
20 4216 3
20 4216 4
20 4216 5
20 4216 6
20 4216 7
20 4216 8
20 4216 9
21 4218 0
21 4218 1
21 4218 2
21 4218 3
21 4218 4
21 4218 5
21 4218 6
21 4218 7
21 4218 8
21 4218 9
21 4219 0
21 4219 1
21 4219 2
21 4219 3
21 4219 4
21 4219 5
21 4219 6
21 4219 7
21 4219 8
21 4219 9
22 4221 0
22 4222 0
22 4222 1
22 4223 0
22 4224 0
22 4224 1
22 4224 2
22 4225 0
22 4225 1
22 4225 2
22 4225 3
22 4225 4
22 4225 5
22 4225 6
22 4225 7
22 4225 8
23 4227 0
23 4227 1
23 4227 2
23 4227 3
23 4227 4
23 4227 5
23 4227 6
23 4227 7
23 4227 8
23 4228 0
23 4228 1
23 4228 2
23 4228 3
23 4228 4
23 4228 5
23 4228 6
23 4228 7
23 4228 8
24 4230 0
24 4230 1
24 4230 2
24 4230 3
24 4230 4
24 4230 5
24 4230 6
24 4230 7
24 4230 8
24 4230 9
24 4230 10
24 4231 0
24 4231 1
24 4231 2
24 4231 3
24 4231 4
24 4231 5
24 4231 6
24 4231 7
24 4231 8
24 4231 9
25 4233 0
25 4233 1
25 4233 2
25 4233 3
25 4233 4
25 4233 5
25 4233 6
25 4233 7
25 4233 8
25 4234 0
25 4234 1
25 4234 2
25 4234 3
25 4234 4
25 4234 5
25 4234 6
25 4234 7
25 4234 8
26 4236 0
26 4236 1
26 4236 2
26 4236 3
26 4236 4
26 4236 5
26 4236 6
26 4236 7
26 4236 8
26 4237 0
26 4237 1
26 4237 2
26 4237 3
26 4237 4
26 4237 5
26 4237 6
26 4237 7
26 4237 8
26 4237 9
27 4239 0
27 4239 1
27 4239 2
27 4239 3
27 4239 4
27 4239 5
27 4239 6
27 4239 7
27 4239 8
27 4240 0
27 4240 1
27 4240 2
27 4240 3
27 4240 4
27 4240 5
27 4240 6
27 4240 7
27 4240 8
28 4242 0
28 4242 1
28 4242 2
28 4242 3
28 4242 4
28 4242 5
28 4242 6
28 4242 7
28 4242 8
28 4243 0
28 4243 1
28 4243 2
28 4243 3
28 4243 4
28 4243 5
28 4243 6
28 4243 7
28 4243 8
29 4245 0
29 4245 1
29 4245 2
29 4245 3
29 4245 4
29 4245 5
29 4245 6
29 4245 7
29 4245 8
29 4246 0
29 4246 1
29 4246 2
29 4246 3
29 4246 4
29 4246 5
29 4246 6
29 4246 7
29 4246 8
30 4248 0
30 4248 1
30 4248 2
30 4248 3
30 4248 4
30 4248 5
30 4248 6
30 4248 7
30 4248 8
30 4249 0
30 4249 1
30 4249 2
30 4249 3
30 4249 4
30 4249 5
30 4249 6
30 4249 7
30 4249 8
31 4251 0
31 4251 1
31 4251 2
31 4251 3
31 4251 4
31 4251 5
31 4251 6
31 4251 7
31 4251 8
31 4252 0
31 4252 1
31 4252 2
31 4252 3
31 4252 4
31 4252 5
31 4252 6
31 4252 7
31 4252 8
32 4254 0
32 4254 1
32 4254 2
32 4254 3
32 4254 4
32 4254 5
32 4254 6
32 4254 7
32 4254 8
32 4255 0
32 4255 1
32 4255 2
32 4255 3
32 4255 4
32 4255 5
32 4255 6
32 4255 7
32 4255 8
33 4257 0
33 4257 1
33 4257 2
33 4257 3
33 4257 4
33 4257 5
33 4257 6
33 4257 7
33 4257 8
33 4258 0
33 4258 1
33 4258 2
33 4258 3
33 4258 4
33 4258 5
33 4258 6
33 4258 7
33 4258 8
34 4260 0
34 4260 1
34 4260 2
34 4260 3
34 4260 4
34 4260 5
34 4260 6
34 4260 7
34 4260 8
34 4261 0
34 4261 1
34 4261 2
34 4261 3
34 4261 4
34 4261 5
34 4261 6
34 4261 7
34 4261 8
35 4263 0
35 4263 1
35 4263 2
35 4263 3
35 4263 4
35 4263 5
35 4263 6
35 4263 7
35 4263 8
35 4264 0
35 4264 1
35 4264 2
35 4264 3
35 4264 4
35 4264 5
35 4264 6
35 4264 7
35 4264 8
35 4264 9
36 4266 0
36 4266 1
36 4266 2
36 4266 3
36 4266 4
36 4266 5
36 4266 6
36 4266 7
36 4266 8
36 4266 9
36 4267 0
36 4267 1
36 4267 2
36 4267 3
36 4267 4
36 4267 5
36 4267 6
36 4267 7
36 4267 8
37 4269 0
37 4269 1
37 4269 2
37 4269 3
37 4269 4
37 4269 5
37 4269 6
37 4269 7
37 4269 8
37 4270 0
37 4270 1
37 4270 2
37 4270 3
37 4270 4
37 4270 5
37 4270 6
37 4270 7
37 4270 8
38 4272 0
38 4272 1
38 4272 2
38 4272 3
38 4272 4
38 4272 5
38 4272 6
38 4272 7
38 4272 8
38 4273 0
38 4273 1
38 4273 2
38 4273 3
38 4273 4
38 4273 5
38 4273 6
38 4273 7
38 4273 8
39 4275 0
39 4275 1
39 4275 2
39 4275 3
39 4275 4
39 4275 5
39 4275 6
39 4275 7
39 4275 8
39 4276 0
39 4276 1
39 4276 2
39 4276 3
39 4276 4
39 4276 5
39 4276 6
39 4276 7
39 4276 8
40 4278 0
40 4278 1
40 4278 2
40 4278 3
40 4278 4
40 4278 5
40 4278 6
40 4278 7
40 4278 8
40 4278 9
40 4278 10
40 4279 0
40 4279 1
40 4279 2
40 4279 3
40 4279 4
40 4279 5
40 4279 6
40 4279 7
40 4279 8
40 4279 9
41 4281 0
