run_number,timestamp,run_type,target_type,comment,deadtime_fraction,total_events,run_time_seconds,beam_energy_MeV,beam_current_uA,momentum_RHRS_MeV,momentum_LHRS_MeV
4986,2019-03-17T23:42:18,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.09804,8007373,2379.12,2137.76,53.9801,1000.00,0.00
4985,2019-03-17T23:01:46,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.00295,10473903,2964.66,2137.8,53.2661,1000.00,0.00
4984,2019-03-17T22:11:29,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.07310,10174251,4058.64,2137.69,53.5905,1000.00,0.00
4983,2019-03-17T21:02:59,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.09914,8369574,2457.12,2136.64,53.7052,1000.00,0.00
4982,2019-03-17T20:21:13,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.09955,8077159,2363.22,2136.81,52.5229,1000.00,0.00
4981,2019-03-17T19:40:53,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.09752,9049411,2698.38,2136.95,54.0083,1000.00,0.00
4980,2019-03-17T18:55:09,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.09837,8730746,2582.22,2138.14,0.0557487,1000.00,0.00
4979,2019-03-17T18:11:07,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.07489,8242222,3185.28,2137.52,53.5697,1000.00,0.00
4978,2019-03-17T17:17:15,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.00226,8767460,2518.50,2137.73,53.7669,1000.00,0.00
4977,2019-03-17T16:34:14,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.09962,10278165,2980.68,2137.78,54.0453,1000.00,0.00
4976,2019-03-17T15:43:45,Production,Tungsten 2.8%,"Pr=2.8% W, 50 uA ps1=ps2=30000; ps3=ps4=15000,ps5=1500,ps6=1,ps7=ps8=0",0.09074,7696123,2443.62,2137.77,53.9002,1000.00,0.00
4975,2019-03-17T14:19:52,Cosmics,HOME,"Cosmics. ps1=1, ps4=1",0.00040,25912,2604.30,2138.14,0.0556944,1000.00,0.00
4974,2019-03-17T13:33:47,Cosmics,HOME,"Cosmics. ps1=1, ps4=1",0.00040,24527,2485.50,2138.14,0.0556773,1000.00,0.00
4973,2019-03-17T12:50:02,Cosmics,HOME,"Cosmics. ps1=1, ps4=1",0.00040,10824,1092.96,2138.14,0.0557206,1000.00,0.00
4972,2019-03-17T12:23:58,Cosmics,HOME,"Cosmics. ps1=1, ps4=1",0.00039,18900,1917.60,2138.14,0.0558539,1000.00,0.00
4971,2019-03-17T06:06:52,SciFi,Bogdan Wire,Right,0.02079,31925,2941.98,2138.14,0.0558618,1000.00,0.00
4970,2019-03-17T05:16:52,SciFi,Bogdan Wire,Right,0.01898,15736,1571.22,2137.54,0.158104,1000.00,0.00
4969,2019-03-17T04:44:04,SciFi,Bogdan Wire,Right,0.01782,61136,6534.24,2138.14,0.0560165,1000.00,0.00
4968,2019-03-17T02:53:58,SciFi,Bogdan Wire,Right,0.01972,4884,470.04,2137.52,0.171528,1000.00,0.00
4967,2019-03-17T02:42:32,SciFi,Bogdan Wire,Test of SciFi config with window,0.02026,7922,803.04,2137.47,0.169603,1000.00,0.00
4965,2019-03-17T00:47:18,Production,Tungsten 2.8%,"Production run 2.8% Tungsten, ps1=ps2=30000 ps3=ps4=15000 ps5=1500 ps6=1 ps7=ps8=0.",0.04309,4849869,3279.84,2137.45,54.2467,1000.00,0.00
4964,2019-03-16T23:43:19,Production,Tungsten 2.8%,"Production run 2.8% Tungsten, ps1=ps2=30000 ps3=ps4=15000 ps5=1500 ps6=1 ps7=ps8=0.",0.08334,7918844,2770.14,2137.35,26.6183,1000.00,0.00
4963,2019-03-16T22:53:14,Production,Tungsten 2.8%,"Production run 2.8% Tungsten, ps1=ps2=30000 ps3=ps4=15000 ps5=1500 ps6=1 ps7=ps8=0.",0.00586,8431302,2330.16,2137.49,53.8472,1000.00,0.00
