run-number rawfile-number n-CODA-events
4201 7 342308
4201 8 342308
4201 9 342308
4202 0 342075
4202 1 342075
4202 2 342075
4202 3 342075
4202 4 342075
4202 5 342075
4202 6 342075
4202 7 342075
4202 8 342075
4203 0 342154
4203 1 342154
4203 2 342154
4203 3 342154
4203 4 342154
4203 5 342154
4203 6 342154
4203 7 342154
4203 8 342154
4203 9 342154
4204 0 342209
4204 1 342209
4204 2 342209
4204 3 342209
4204 4 342209
4204 5 342209
4204 6 342209
4204 7 342209
4204 8 342209
4205 0 342123
4205 1 342123
4205 2 342123
4205 3 342123
4205 4 342123
4205 5 342123
4205 6 342123
4205 7 342123
4205 8 342123
4205 9 342123
4205 10 342123
4205 11 342123
4205 12 342123
4205 13 342123
4205 14 342123
4206 0 342114
4206 1 342114
4206 2 342114
4206 3 342114
4206 4 342114
4206 5 342114
4206 6 342114
4206 7 342114
4206 8 342114
4206 9 342114
4206 10 342114
4206 11 342114
4206 12 342114
4206 13 342114
4206 14 342114
4206 15 342114
4207 0 342169
4207 1 342169
4207 2 342169
4207 3 342169
4207 4 342169
4207 5 342169
4207 6 342169
4207 7 342169
4207 8 342169
4207 9 342169
4207 10 342169
4207 11 342169
4207 12 342169
4207 13 342169
4207 14 342169
4207 15 342169
4208 0 340736
4208 1 340736
4208 2 340736
4208 3 340736
4208 4 340736
4208 5 340736
4208 6 340736
4208 7 340736
4208 8 340736
4208 9 340736
4208 10 340736
4208 11 340736
4208 12 340736
4209 0 340732
4209 1 340732
4209 2 340732
4209 3 340732
4209 4 340732
4209 5 340732
4209 6 340732
4209 7 340732
4209 8 340732
4209 9 340732
4210 0 340894
4210 1 340894
4210 2 340894
4210 3 340894
4210 4 340894
4210 5 340894
4210 6 340894
4210 7 340894
4210 8 340894
4210 9 340894
4210 10 340894
4211 0 340850
4211 1 340850
4211 2 340850
4211 3 340850
4211 4 340850
4211 5 340850
4211 6 340850
4211 7 340850
4211 8 340850
4211 9 340850
4212 0 340980
4212 1 340980
4212 2 340980
4212 3 340980
4212 4 340980
4212 5 340980
4212 6 340980
4212 7 340980
4212 8 340980
4212 9 340980
4213 0 340915
4213 1 340915
4213 2 340915
4213 3 340915
4213 4 340915
4213 5 340915
4213 6 340915
4213 7 340915
4213 8 340915
4213 9 340915
4214 0 340914
4214 1 340914
4214 2 340914
4214 3 340914
4214 4 340914
4214 5 340914
4214 6 340914
4214 7 340914
4214 8 340914
4214 9 340914
4215 0 340857
4215 1 340857
4215 2 340857
4215 3 340857
4215 4 340857
4215 5 340857
4215 6 340857
4215 7 340857
4215 8 340857
4215 9 340857
4215 10 340857
4216 0 340855
4216 1 340855
4216 2 340855
4216 3 340855
4216 4 340855
4216 5 340855
4216 6 340855
4216 7 340855
4216 8 340855
4216 9 340855
4217 0 340870
4217 1 340870
4217 2 340870
4217 3 340870
4217 4 340870
4217 5 340870
4217 6 340870
4217 7 340870
4217 8 340870
4217 9 340870
4218 0 344728
4218 1 344728
4218 2 344728
4218 3 344728
4218 4 344728
4218 5 344728
4218 6 344728
4218 7 344728
4218 8 344728
4218 9 344728
4219 0 342504
4219 1 342504
4219 2 342504
4219 3 342504
4219 4 342504
4219 5 342504
4219 6 342504
4219 7 342504
4219 8 342504
4219 9 342504
4220 0 340777
